,PC1,PC2,PC3,PC4,PC5,PC6,Max angle,Sample
102,14.60468,9.125362,-0.10154601,0.5015613,5.5610976,7.140721,104.0,10
103,13.800532,9.133783,0.81723595,2.6173284,5.215744,6.764234,96.0,10
104,13.709651,6.771223,0.31266314,1.6475979,6.2619195,7.607723,93.0,10
105,14.103677,7.272204,1.252216,1.9759864,6.069274,7.2778187,97.0,10
106,13.8065195,6.229287,0.84690547,2.2527695,6.552062,8.540203,104.0,10
107,13.945635,6.5176663,0.5245485,2.08923,6.3805532,8.262802,104.0,10
108,13.558496,7.1890244,0.58480555,1.8403956,6.7113943,9.671476,104.0,10
109,14.133839,6.0660386,0.92758006,1.9988061,7.3310614,11.554387,122.0,11
110,13.670729,8.56767,-0.3400967,1.7189275,6.1379905,9.52154,94.0,11
111,13.776464,6.5099864,0.66440505,1.6964674,7.174785,10.338706,111.0,11
112,13.537935,7.6491733,-0.17764908,1.7064763,6.7742033,10.584531,94.0,11
113,13.898798,7.5651584,1.6936786,2.6806662,6.319232,9.81953,118.0,11
114,13.470535,8.012037,0.1676791,1.9554154,6.341648,9.7242365,99.0,11
115,13.530142,8.247255,0.07116379,2.0906444,6.3899074,10.036068,99.0,11
116,13.542554,5.9911137,0.8538915,2.4976223,7.2925296,10.727167,108.0,11
117,13.354566,7.370304,0.18109822,1.9841341,6.5867753,9.3106785,90.0,11
118,14.057331,7.7916102,1.4173781,2.2125025,6.4597583,10.08149,117.0,11
119,13.631064,8.285975,0.11453399,1.680417,6.2528996,9.656798,101.0,11
120,13.911136,7.4123435,0.82652634,2.4243703,6.7223177,11.591936,119.0,11
121,13.427723,7.673777,-0.07143609,1.7620296,6.741488,10.491052,98.0,11
122,14.187811,7.029524,1.8584878,2.8297381,6.387694,10.147845,126.0,11
123,13.636667,7.8461256,0.93124044,2.2453797,6.2685966,9.745365,110.0,12
124,13.228717,7.327979,0.31171784,2.2082458,6.7604375,10.307526,101.0,12
125,13.295098,7.3413944,0.66245455,2.471691,6.5787277,9.63197,102.0,12
126,13.873214,7.3706236,1.6677796,2.3379297,6.559832,10.303628,118.0,12
127,13.781955,6.6208463,0.60011226,1.9359264,7.254697,11.596197,111.0,12
128,13.479904,7.929975,-0.27164188,1.6959361,6.5491695,10.009784,90.0,12
129,13.7519655,7.250331,0.5881459,2.846036,6.806257,11.616076,114.0,12
130,14.253587,7.286935,1.3408897,2.941092,6.4935427,11.167164,131.0,12
131,14.941998,5.6766295,0.06263652,2.325577,7.2831035,10.131578,104.0,12
132,13.258249,6.529698,0.29335868,1.9299852,7.3331933,11.088992,102.0,12
133,13.8243885,6.7513995,0.9478078,2.383461,7.092504,11.561874,117.0,12
134,13.272684,7.015495,0.47490022,2.1182122,7.0089445,10.711906,104.0,12
135,14.043001,7.2749696,1.449171,2.6007762,6.5965242,11.186042,126.0,12
136,13.539847,6.052525,0.156989,1.8673651,7.578844,11.297409,97.0,12
137,13.896954,5.919672,0.8378089,2.7670074,7.278489,11.221905,116.0,12
138,14.736471,7.7173195,-0.25447053,1.2777064,5.9092484,7.431544,90.0,12
139,2.210442,5.3086863,8.07086,4.6432943,2.5967498,0.30331388,96.0,15
140,14.4767065,9.931652,-0.08957032,1.2168648,5.166025,6.1090894,90.0,15
141,2.081364,5.183957,8.525283,4.555829,3.095909,0.49689388,90.0,15
142,14.547816,9.348513,-0.6086386,0.25984517,5.3940625,6.307124,77.0,15
143,14.372182,8.972175,-0.6638392,1.1672966,5.494306,7.010721,90.0,15
144,14.549339,9.258811,-0.62577146,0.37107298,5.457669,6.3455334,75.0,15
145,14.373159,9.209556,-0.7869932,1.0703073,5.342986,6.783496,90.0,15
146,13.90252,10.317179,0.08756367,2.0712543,4.7615027,5.573821,90.0,15
147,15.019834,6.6738634,0.39952314,2.3682358,6.49918,9.07732,118.0,15
148,14.255018,9.566734,-0.3189299,1.4622006,5.1321316,6.0793943,90.0,15
149,14.066669,9.56368,0.93380874,2.443554,5.273062,7.391862,104.0,15
